,STNCODE,STNNAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,STNTYPE,STFIPS,OBJECTID_1,OBJECTID,type,coordinates
77,DOV,"Dover, New Hampshire",33 Chestnut St., ,Dover,NH,03820-3327,RAIL,33,78,82,Point,"[-70.87664800005307, 43.19865600005939]"
78,DOW,"Downingtown, Pennsylvania",West Lancaster Ave. and Stuart Ave., ,Downingtown,PA,19335,RAIL,42,79,83,Point,"[-75.70812199950564, 40.002537000149175]"
79,DQN,"Du Quoin, Illinois",20 North Chestnut St., ,Du Quoin,IL,62832-1602,RAIL,17,80,84,Point,"[-89.24015800025802, 38.01135300019406]"
80,DRD,"Durand, Michigan",200 South Railroad St., ,Durand,MI,48429-1713,RAIL,26,81,85,Point,"[-83.98243700073502, 42.90977900049263]"
81,DRT,"Del Rio, Texas",100 North Main Street, ,Del Rio,TX,78840,RAIL,48,82,86,Point,"[-100.901465999867, 29.363081000007192]"
82,DUK,"Dunkirk, New York",411 Central Ave.,P&G Foods,Dunkirk,NY,14048,BUS,36,83,87,Point,"[-79.33101700042644, 42.48533199949717]"
83,DUL,"Duluth (Greyhound Station), Minnesota",4426 Grand Ave.,Greyhound Terminal,Duluth,MN,55806,BUS,27,84,88,Point,"[-92.12400800004077, 46.76660199981898]"
84,DUN,"Dunsmuir (Amtrak Station), California",5750 Sacramento Avenue,Amtrak Passenger Station,Dunsmuir,CA,96025-2024,RAIL,06,85,89,Point,"[-122.2699740001186, 41.21117399982804]"
85,DUU,"Duluth (University of Minnesota), Minnesota",175 Kirby Student Union, ,Duluth,MN,55812,BUS,27,86,90,Point,"[-92.0767700288416, 46.810445138457716]"
86,DVI,"Danville, Illinois",379 Lynch Road,BP Amoco Station,Danville,IL,61834-9378,BUS,17,87,91,Point,"[-87.63611599981805, 40.11942700006722]"
87,DVL,"Devils Lake, North Dakota",Railroad Ave. and Third St., ,Devils Lake,ND,58301,RAIL,38,88,92,Point,"[-98.86137399907136, 48.11064500013644]"
88,DVP,"Davenport, Iowa",304 West River Drive, ,Davenport,IA,52801,BUS,19,89,93,Point,"[-90.57742299975794, 41.51973699998938]"
89,DVR,"Dover, Delaware",716 South Governors Ave,City Cab,Dover,DE,19901-4633,BUS,10,90,94,Point,"[-75.52529358864096, 39.14995003721617]"
90,DWT,"Dwight, Illinois",119 West Main St., ,Dwight,IL,60420-1321,RAIL,17,91,95,Point,"[-88.42832200050637, 41.092048999929396]"
91,DYA,"Daytona Beach, Florida",100 North Atlantic Ave,Hilton Daytona Beach Ocean Walk Village,Daytona Beach,FL,32118-4273,BUS,12,92,96,Point,"[-81.00911699952638, 29.228230999989368]"
92,DYE,"Dyer, Indiana",913 Sheffield Avenue,(near Sheffield and Matteson),Dyer,IN,46311,RAIL,18,93,97,Point,"[-87.51818799901197, 41.498528000094566]"
93,EDM,"Edmonds, Washington",211 Railroad Ave., ,Edmonds,WA,98020-4132,RAIL,53,94,98,Point,"[-122.38307199949213, 47.81129499976425]"
94,EFG,"Effingham, Illinois",401 West National Ave., ,Effingham,IL,62401-3772,RAIL,17,95,99,Point,"[-88.5457149997635, 39.1191560002846]"
95,EGH,"Egg Harbor City, New Jersey",South Philadelphia Ave & Atlantic Ave,New Jersey Transit,Egg Harbor City,NJ,08215,OTHER,34,96,100,Point,"[-74.64933002282582, 39.5270599950893]"
96,EKA,"Eureka, California",Sixth and C Sts.,Bus stop behind Denny's,Eureka,CA,95501,BUS,06,97,101,Point,"[-124.1688910028253, 40.8006298809088]"
97,EKG,"Elk Grove, California",Harbor Point Drive at Renwick Avenue,Across from McDonald's,Elk Grove,CA,95758,BUS,06,98,102,Point,"[-121.4825355652556, 38.42457980968706]"
98,EKH,"Elkhart, Indiana",131 Tyler Avenue, ,Elkhart,IN,46515,RAIL,18,99,103,Point,"[-85.97105400052978, 41.68072099977044]"
99,ELB,"El Paso (Bus Station), Texas",200 W. San Antonio Ave., ,El Paso,TX,79901-1048,BUS,48,100,104,Point,"[-106.49012552271122, 31.757270971860763]"
100,ELK,"Elko, Nevada",12th and Silver Sts., ,Elko,NV,89801,RAIL,32,101,105,Point,"[-115.75339500006594, 40.83687599953018]"
101,ELP,"El Paso, Texas",700 San Francisco St., ,El Paso,TX,79901,RAIL,48,102,106,Point,"[-106.49488800047882, 31.757725000959745]"
102,ELS,"Elsie, Oregon",44573 Highway 26,Baker's General Store/Hardware,Elsie,OR,97138,BUS,41,103,107,Point,"[-123.54656089238082, 45.85776053959487]"
103,ELT,"Elizabethtown, Pennsylvania",South Wilson Avenue at West High Street, ,Elizabethtown,PA,17022,RAIL,42,104,108,Point,"[-76.61457799998617, 40.14740000047433]"
104,ELY,"Elyria, Ohio",410 East River Road, ,Elyria,OH,44035,RAIL,39,105,109,Point,"[-82.09700799989844, 41.37005199976352]"
105,EMY,"Emeryville, California",5885 Horton Street, ,Emeryville,CA,94608-2037,RAIL,06,106,110,Point,"[-122.2906800003309, 37.84067899984513]"
106,EPH,"Ephrata, Washington",24 Alder St NW,Bus leaves from 90 Alder St NW,Ephrata,WA,88823-2421,RAIL,53,107,111,Point,"[-119.54864499976794, 47.32059500025008]"
107,EPL,"El Portal, California",11136 Highway 140,Yosemite View Lodge,El Portal,CA,95318-0169,BUS,06,108,112,Point,"[-119.7528920003424, 37.67854300014174]"
108,ERI,"Erie, Pennsylvania",125 West 14th Street, ,Erie,PA,16501,RAIL,42,109,113,Point,"[-80.08103900021307, 42.12112800012364]"
109,ESM,"Essex, Montana",290 Izaak Walton Inn Rd,Izaak Walton Inn,Essex,MT,59916-9710,RAIL,30,110,114,Point,"[-113.60948199975225, 48.28086100015104]"
110,ESX,"Essex Junction, Vermont",29 Railroad Ave., ,Essex Jct.,VT,05452,RAIL,50,111,115,Point,"[-73.11045099922225, 44.49257299917163]"
111,EUG,"Eugene, Oregon",433 Willamette Street, ,Eugene,OR,97401-2613,RAIL,41,112,116,Point,"[-123.09184300030924, 44.05538599950461]"
112,EVR,"Everett, Washington",3201 Smith Ave., ,Everett,WA,98201,RAIL,53,113,117,Point,"[-122.21562200068988, 47.97928199980278]"
113,EWR,"Newark Liberty International Airport, New Jersey",Newark Liberty International Airport,AirTrain from main airport terminal,Newark,NJ,07114-3401,RAIL,34,114,118,Point,"[-74.19059638654974, 40.705134086176514]"
114,EXR,"Exeter, New Hampshire",60 Lincoln Street,Lincoln Street at Railroad Avenue,Exeter,NH,03833,RAIL,33,115,119,Point,"[-70.95782200054128, 42.98160300036968]"
115,EXT,"Exton, Pennsylvania",425 Walkertown Road,US 30/Route 100 (Pottstown Pike) interchange,Exton,PA,19341,RAIL,42,116,120,Point,"[-75.62202053486816, 40.01910902623644]"
116,FAR,"Fargo, North Dakota",420 4th Street North, ,Fargo,ND,58102,RAIL,38,117,121,Point,"[-96.78461499979313, 46.881077000506345]"
117,FAY,"Fayetteville, North Carolina",472 Hay Street, ,Fayetteville,NC,28301-5563,RAIL,37,118,122,Point,"[-78.88506300040149, 35.05490499950681]"
118,FBG,"Fredericksburg, Virginia",200 Lafayette Blvd., ,Fredericksburg,VA,22401-6067,RAIL,51,119,123,Point,"[-77.4569320004562, 38.29855700030117]"
119,FCC,"Fort Collins, Colorado",250 North Mason St.,Greyhound Station,Fort Collins,CO,80524-4407,BUS,08,120,124,Point,"[-105.06591800010926, 40.58378199948236]"
120,FDL,"Fond du Lac, Wisconsin",976 South Main St.,Mobile Station,Fond du Lac,WI,54935-6101,BUS,55,121,125,Point,"[-88.45018799973664, 43.752517999996385]"
121,FDN,"Fredonia, New York",1 State University of New York,William Center Student Union,Fredonia,NY,14063,BUS,36,122,126,Point,"[-79.34017899975586, 42.445125999556]"
122,FED,"Fort Edward-Glens Falls, New York",70 East St.,East and Rogers Sts.,Fort Edward,NY,12828,RAIL,36,123,127,Point,"[-73.5804600005854, 43.269515999786414]"
123,FGG,"Flagstaff (Greyhound), Arizona",399 S. Malpais Ln.,Greyhound Bus Terminal,Flagstaff,AZ,86001-6218,BUS,04,124,128,Point,"[-111.65769405451735, 35.19457224817076]"
124,FHD,"Fort Hood, Texas",Hood Road & Old Ironsides Ave.,Copeland Soldier's Service Center--Bldg. 18010,Fort Hood,TX,76544,BUS,48,125,129,Point,"[-97.7643129998723, 31.139959000089235]"
125,FHV,"Fair Haven, Vermont",Depot and Water Sts., ,Fair Haven,VT,05743,RAIL,50,126,130,Point,"[-73.26204699988435, 43.59057600008312]"
126,FIL,"Fillmore, California",718 West Ventura St.,International House of Pancakes,Fillmore,CA,93015-1835,BUS,06,127,131,Point,"[-118.91661099926523, 34.39613000050614]"
127,FLG,"Flagstaff, Arizona",1 East Route 66, ,Flagstaff,AZ,86001-5530,RAIL,04,128,132,Point,"[-111.65066499972717, 35.198013000292065]"
128,FLN,"Flint, Michigan",1407 South Dort Highway, ,Flint,MI,48503-2878,RAIL,26,129,133,Point,"[-83.65483900024, 43.01363399955365]"
129,FLO,"Florence, South Carolina",805 East Day Street, ,Florence,SC,29506,RAIL,45,130,134,Point,"[-79.75709499954415, 34.19881800030094]"
130,FMD,"Fort Madison, Iowa",1601 20th Street, ,Fort Madison,IA,52627,RAIL,19,131,135,Point,"[-91.33335899982708, 40.623394000235514]"
131,FMG,"Fort Morgan, Colorado",South Ensign St and Main St, ,Fort Morgan,CO,80701,RAIL,08,132,136,Point,"[-103.8026500000683, 40.247329999848276]"
132,FMT,"Fremont (Trains, Capitol Buses), California",37260 Fremont Blvd., ,Fremont,CA,94536,RAIL,06,133,137,Point,"[-122.00637800007496, 37.558196999942034]"
133,FNO,"Fresno, California",2650 Tulare St.,Santa Fe Station,Fresno,CA,93721-1325,RAIL,06,134,138,Point,"[-119.78224899952298, 36.73862799955353]"
134,FOX,"Foxwoods Casino, Connecticut",39 Norwich Westerley Rd.,Foxwoods Resort Casino,Ledyard,CT,06339-1128,BUS,09,135,139,Point,"[-71.97193900013882, 41.45766099965118]"
135,FRA,"Framingham, Massachusetts",417 Waverly St.,Intersection Route 126 at Route 135,Framingham,MA,01702-6948,RAIL,25,136,140,Point,"[-71.41786199924289, 42.27666899991107]"
136,FRO,"Florence, Oregon",290 US Highway 101,"2nd Street and US 101, east side",Florence,OR,97439,BUS,41,137,141,Point,"[-124.107396260519, 43.967930162918464]"
137,FRT,"Fremont (San Joaquin Buses), California",999 Upper Mission Blvd,off I-680,Fremont,CA,94538,BUS,06,138,142,Point,"[-121.92243999934017, 37.539932000408164]"
138,FSC,"Frisco, Colorado",1010 Meadow Drive,Frisco Transfer Center,Frisco,CO,80443,BUS,08,139,143,Point,"[-106.0962829998289, 39.587104999853125]"
139,FTA,"Fortuna, California",719 South Fortuna Blvd,Pepper's Restaurant,Fortuna,CA,95540,BUS,06,140,144,Point,"[-124.15189399999572, 40.597495999710524]"
140,FTC,"Ticonderoga, New York",NYS Hwy 74 and Sandy Redoubt,near Lake Champlain Ferry,Ticonderoga,NY,12883,RAIL,36,141,145,Point,"[-73.39064000006779, 43.852993000426295]"
141,FTL,"Fort Lauderdale, Florida",200 S.W. 21 Terrace, ,Fort Lauderdale,FL,33312,RAIL,12,142,146,Point,"[-80.17018900017516, 26.119614000807992]"
142,FTM,"Fort Myers, Florida",6050 Plaza Drive,"Fort Myers Travel Plaza, I-75 exit 139",Fort Myers,FL,33906-4419,BUS,12,143,147,Point,"[-81.8849029998509, 26.682349999591043]"
143,FTN,"Fulton, Kentucky",21 Newton Rd., ,Fulton,KY,42041,RAIL,21,144,148,Point,"[-88.88800800010395, 36.522522000085644]"
144,FTW,"Fort Worth, Texas",1001 Jones Street, ,Fort Worth,TX,76102,RAIL,48,145,149,Point,"[-97.32386799917559, 32.749374000257994]"
145,FUL,"Fullerton, California",120 East Santa Fe Avenue,Fullerton Transportation Center,Fullerton,CA,92832,RAIL,06,146,150,Point,"[-117.92283599983195, 33.86894600018134]"
146,GAC,"Santa Clara (Great America), California",5099 Stars & Stripes Dr.,Under Tasman Dr. overpass,Santa Clara,CA,95054,RAIL,06,147,151,Point,"[-121.94641100011451, 37.378510000366006]"
147,GAS,"Gastonia, North Carolina",350 Hancock Street, ,Gastonia,NC,28054,RAIL,37,148,152,Point,"[-81.16397899967706, 35.26835599993976]"
148,GBB,"Galesburg, Illinois",225 South Seminary Street,Amtrak Union Station,Galesburg,IL,61401,RAIL,17,149,153,Point,"[-90.36410499919235, 40.94404999985743]"
149,GBV,"Garberville, California",924 Redwood Drive,Waterwheel Restaurant,Garberville,CA,95542,BUS,06,150,155,Point,"[-123.79389999987936, 40.10106300050272]"
150,GCB,"Grand Canyon (Buses), Arizona",Maswik Lodge, ,Grand Canyon National Park,AZ,86023,BUS,04,151,156,Point,"[-112.13879537305874, 36.05502922507996]"
151,GCK,"Garden City, Kansas",100 North 7th Street,1 block south of 7th & Fulton (Bus Highway 50),Garden City,KS,67846-5547,RAIL,20,152,157,Point,"[-100.87279500005145, 37.964724999856536]"
152,GCN,"Grand Canyon (Railway), Arizona",Grand Canyon Railway Station,downhill from Bright Angel Lodge,Grand Canyon National Park,AZ,86023,OTHER,04,153,158,Point,"[-112.13494100041524, 36.056716999327506]"
153,GDL,"Glendale, California",400 West Cerritos Avenue,Glendale Transportation Center,Glendale,CA,91204,RAIL,06,154,159,Point,"[-118.25795700006431, 34.12363799965759]"
154,GFK,"Grand Forks, North Dakota",5555 DeMers Avenue, ,Grand Forks,ND,58201,RAIL,38,155,160,Point,"[-97.11043499898227, 47.918853999536296]"
155,GFV,"Greenfield Village, Michigan",20900 Oakwood Blvd.,Group travel only - not a regular stop,Dearborn,MI,48216,RAIL,26,156,161,Point,"[-83.24184399934319, 42.30490100062756]"
156,GGW,"Glasgow, Montana",424 1st Avenue South, ,Glasgow,MT,59230-2396,RAIL,30,157,162,Point,"[-106.63481100038658, 48.19451500049901]"
157,GHT,"Gearhart, Oregon","4320 Highway 101, North",Gearhart Builders Supply Store,Gearhart,OR,97301,BUS,41,158,163,Point,"[-123.91558990794009, 46.05870257560408]"
158,GJT,"Grand Junction, Colorado",339 South 1st Street, ,Grand Junction,CO,81501-2207,RAIL,08,159,164,Point,"[-108.56992300067445, 39.06481900008253]"
159,GLE,"Gainesville, Texas",605 East California Street, ,Gainesville,TX,76240,RAIL,48,160,165,Point,"[-97.14026599961241, 33.62442400000681]"
160,GLM,"Gilman, Illinois",US Hwy 24 & West Wenona St., ,Gilman,IL,60983,RAIL,17,161,166,Point,"[-87.99476600095885, 40.76207699970734]"
161,GLN,"Glenview, Illinois",1116 Depot St., ,Glenview,IL,60025,RAIL,17,162,167,Point,"[-87.80534399992617, 42.07419600066245]"
162,GLP,"Gallup, New Mexico",201 East Highway 66,(Amtrak shares space with Indian Museum),Gallup,NM,87301,RAIL,35,163,168,Point,"[-108.73967700031403, 35.52924699973509]"
163,GLS,"Galveston (Texas Eagle Bus), Texas",25th St. and Strand St.,The Railroad Museum,Galveston,TX,77550,BUS,48,164,169,Point,"[-94.7860719996895, 29.29120799977052]"
164,GLY,"Gilroy, California",7250 Monterey Street,Caltrain Station,Gilroy,CA,95020,BUS,06,165,171,Point,"[-121.56750499902319, 37.00598100063594]"
165,GNB,"Greensburg, Pennsylvania",Harrison Ave. and Seton Hill Dr., ,Greensburg,PA,15601,RAIL,42,166,173,Point,"[-79.54727900026532, 40.30485199973593]"
166,GNF,"Gainesville, Florida",201 East University Ave., ,Gainesville,FL,32601-5457,BUS,12,167,174,Point,"[-82.32322177720329, 29.652079811625306]"
167,GNS,"Gainesville, Georgia",116 Industrial Boulevard, ,Gainesville,GA,30501,RAIL,13,168,175,Point,"[-83.82668299955837, 34.283718000035414]"
168,GPK,"East Glacier Park, Montana",400 Highway 49 North, ,East Glacier Park,MT,59434,RAIL,30,169,176,Point,"[-113.21855899974666, 48.443965999868624]"
169,GRA,"Granby, Colorado",438 Railroad Avenue, ,Granby,CO,80446,RAIL,08,170,177,Point,"[-105.9348369999242, 40.08391600036588]"
170,GRI,"Green River, Utah",250 South Broadway,@ RR Tracks and Airport Rd.,Green River,UT,84525,RAIL,49,171,178,Point,"[-110.16459700012402, 38.99244300089335]"
171,GRO,"Greensboro, North Carolina",236 East Washington Street,Galyon Transportation Center,Greensboro,NC,27401-2704,RAIL,37,172,179,Point,"[-79.83135200019241, 36.06120299967937]"
172,GRR,"Grand Rapids, Michigan",431 Wealthy St. SW,near Market and Wealthy Sts. SW,Grand Rapids,MI,49503-4061,RAIL,26,173,180,Point,"[-85.67899300053494, 42.95637099957386]"
173,GRS,"Grass Valley, California",125 E. Main Street,City Hall,Grass Valley,CA,95945,BUS,06,174,181,Point,"[-121.05795300057453, 39.21938299957912]"
174,GRV,"Greenville, South Carolina",1120 West Washington Street,near Downtown Greenville,Greenville,SC,29601,RAIL,45,175,182,Point,"[-82.41418500051523, 34.856559999879885]"
175,GSC,"Glenwood Springs, Colorado",413 7th Street, ,Glenwood Springs,CO,81601,RAIL,08,176,183,Point,"[-107.32267800062466, 39.54811900007525]"
176,GSN,"Goshen Junction, California",30435 Road 68,Greyhound Bus Stop,Visalia,CA,93227-9585,BUS,06,177,184,Point,"[-119.4214628252978, 36.341585355278355]"
177,GTA,"Goleta, California",25 South La Patera Lane, ,Goleta,CA,93117,RAIL,06,178,185,Point,"[-119.8411710000932, 34.43755700018892]"
178,GUA,"Guadalupe, California",330 Guadalupe Street,Highway-1,Guadalupe,CA,93434,RAIL,06,179,186,Point,"[-120.57294500049066, 34.962604999828855]"
179,GVB,"Grover Beach, California",180 West Grand Avenue, ,Grover Beach,CA,93433-1968,RAIL,06,180,188,Point,"[-120.62810500038145, 35.12206600044964]"
180,GVI,"Grangeville, Idaho",901 West Main (Highway 95),ZIP TRIP,Grangeville,ID,83530,BUS,16,181,189,Point,"[-116.12893699996278, 45.926506000464926]"
181,GWD,"Greenwood, Mississippi",Carrolton Ave. and East Gibbs Street,506 Carrolton Ave.?,Greenwood,MS,38930,RAIL,28,182,190,Point,"[-90.17608600044514, 33.517738000221804]"
182,HAM,"Hamlet, North Carolina",West Main St. and North Bridges St., ,Hamlet,NC,28345,RAIL,37,183,191,Point,"[-79.69845600062776, 34.88307200075448]"
183,HAR,"Harrisburg, Pennsylvania",4th and Chestnut Streets, ,Harrisburg,PA,17101,RAIL,42,184,192,Point,"[-76.87819699959601, 40.26156199960153]"
184,HAS,"Hastings, Nebraska",501 West First St., ,Hastings,NE,68901,RAIL,31,185,193,Point,"[-98.38732900008735, 40.58413299931507]"
185,HAV,"Havre, Montana",235 Main Street, ,Havre,MT,59501-3599,RAIL,30,186,194,Point,"[-109.67812300070045, 48.55441699947294]"
186,HAY,"Hayward, California",22555 Meekland Avenue,Amtrak Rail & Thruway Bus Station,Hayward,CA,94541,RAIL,06,187,195,Point,"[-122.09778599994533, 37.66685900002311]"
187,HAZ,"Hazlehurst, Mississippi",North Ragsdale Ave and East Conway St., ,Hazlehurst,MS,39083,RAIL,28,188,196,Point,"[-90.39427900085248, 31.862897999637976]"
188,HBG,"Hattiesburg, Mississippi",308 Newman St.,308 Newman St.,Hattiesburg,MS,39401,RAIL,28,189,197,Point,"[-89.28618600005828, 31.326719000663363]"
189,HEA,"Healdsburg (Singletree Inn), California",165 Healdsburg Ave., ,Healdsburg,CA,95448-4000,BUS,06,190,198,Point,"[-122.86949899995834, 38.6106679997658]"
190,HEM,"Hermann, Missouri",Wharf & Gutenberg Sts., ,Herman,MO,65041,RAIL,29,191,199,Point,"[-91.43260199960432, 38.707293998999454]"
191,HER,"Helper, Utah",1 Depot Street, ,Helper,UT,84526,RAIL,49,192,200,Point,"[-110.8525769994417, 39.68819799948446]"
192,HET,"Hemet (West Florida Ave), California",3246 West Florida Avenue,Coco's Restaurant,Hemet,CA,92545-3622,BUS,06,193,201,Point,"[-117.00584509938335, 33.747380230714796]"
193,HFD,"Hartford, Connecticut",One Union Place, ,Hartford,CT,06103,RAIL,09,194,202,Point,"[-72.68212099914574, 41.767799000117634]"
194,HFY,"Harpers Ferry, West Virginia",Potomac St. & Shenandoah St.,station 1/4 mi (400 m) north,Harpers Ferry,WV,25425,RAIL,54,195,203,Point,"[-77.7335589997405, 39.32504300021397]"
195,HGD,"Huntingdon, Pennsylvania",Fourth and Allegheny Sts., ,Huntingdon,PA,16652,RAIL,42,196,204,Point,"[-78.0118329999111, 40.48349400097059]"
196,HGN,"Harlingen, Texas",215 E. Monroe Ave., ,Harlingen,TX,78550-5519,BUS,48,197,205,Point,"[-97.69390099974416, 26.19343399978412]"
197,HHL,"Haverhill, Massachusetts",Washington Street at Railroad Square, ,Haverhill,MA,01832-5418,RAIL,25,198,206,Point,"[-71.08594599929805, 42.772707999455804]"
198,HIN,"Hinton, West Virginia",Front St. and Fifth Ave., ,Hinton,WV,25951,RAIL,54,199,207,Point,"[-80.88863400050776, 37.677071000880574]"
199,HLD,"Holdrege, Nebraska",100 West Ave., ,Holdrege,NE,68949,RAIL,31,200,208,Point,"[-99.37074300081518, 40.43619199984464]"
200,HMD,"Hammond, Louisiana",404 N.E. Railroad Ave., ,Hammond,LA,70401,RAIL,22,201,209,Point,"[-90.4635930000903, 30.51169799962507]"
